N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE
1,삼성전자,"80,900",400,+0.50%,100,"4,829,554","5,969,783",53.79,"9,836,756",19.42,9.99,
2,SK하이닉스,"128,500","1,500",+1.18%,"5,000","935,483","728,002",49.51,"1,964,967",18.35,9.53,
3,카카오,"144,500","2,000",+1.40%,100,"641,478","443,930",33.51,"4,921,622",210.33,2.70,
4,NAVER,"387,000",0,0.00%,100,"635,699","164,263",56.90,"623,254",3.94,15.22,
5,삼성전자우,"74,300",100,+0.13%,100,"611,405","822,887",76.51,"707,655",17.84,N/A,
6,LG화학,"820,000","7,000",-0.85%,"5,000","578,857","70,592",45.86,"216,108",35.70,2.93,
7,삼성바이오로직스,"842,000","11,000",-1.29%,"2,500","557,109","66,165",10.14,"50,511",209.98,N/A,
8,현대차,"237,000","1,000",-0.42%,"5,000","506,394","213,668",30.02,"468,124",28.68,2.04,
9,삼성SDI,"653,000","14,000",+2.19%,"5,000","449,032","68,765",42.52,"329,566",63.96,4.54,
10,셀트리온,"275,000","6,000",-2.14%,"1,000","379,270","137,917",20.91,"604,117",63.09,16.68,
11,기아,"88,400",100,-0.11%,"5,000","358,341","405,363",33.56,"1,482,352",15.88,5.05,
12,POSCO,"342,000","2,500",-0.73%,"5,000","298,179","87,187",53.92,"379,391",13.36,3.61,
13,현대모비스,"289,000","1,000",+0.35%,"5,000","273,952","94,793",36.56,"228,607",15.42,4.66,
14,SK이노베이션,"288,500","11,000",+3.96%,"5,000","266,763","92,466",23.62,"1,420,700",-27.28,-13.58,
15,LG전자,"158,500","1,000",+0.63%,"5,000","259,382","163,648",30.80,"1,015,936",14.76,13.23,
16,삼성물산,"138,000","1,000",-0.72%,100,"257,904","186,887",14.76,"243,383",16.44,3.81,
17,LG생활건강,"1,570,000","24,000",+1.55%,"5,000","245,206","15,618",45.46,"33,170",33.84,17.92,
18,SK텔레콤,"330,000","3,000",-0.90%,500,"237,798","72,060",45.54,"139,698",15.20,6.44,
19,KB금융,"55,900",300,-0.53%,"5,000","232,437","415,808",68.92,"943,064",5.82,8.53,
20,신한지주,"41,200",50,+0.12%,"5,000","212,839","516,600",60.79,"975,248",5.78,8.20,
21,SK,"287,000",500,-0.17%,200,"201,934","70,360",20.40,"151,736",33.42,1.11,
22,엔씨소프트,"853,000","5,000",-0.58%,500,"187,268","21,954",52.13,"39,655",39.61,20.83,
23,한국전력,"26,650",50,-0.19%,"5,000","171,083","641,964",15.90,"2,534,779",8.33,2.91,
24,아모레퍼시픽,"282,000","3,500",+1.26%,500,"164,853","58,458",33.70,"127,865",197.34,0.78,
25,삼성생명,"80,500",400,-0.49%,500,"161,000","200,000",13.29,"329,322",7.58,3.53,
26,LG,"99,100","1,000",+1.02%,"5,000","155,885","157,301",33.38,"270,361",9.10,7.50,
27,HMM,"44,550","1,700",-3.68%,"5,000","153,872","345,392",12.46,"11,174,157",42.23,8.93,
28,삼성에스디에스,"189,500","2,000",+1.07%,500,"146,631","77,378",11.63,"161,294",23.30,6.71,
29,하나금융지주,"44,750",150,-0.33%,"5,000","134,358","300,242",68.45,"759,961",4.77,8.96,
30,삼성전기,"177,500",500,+0.28%,"5,000","132,581","74,694",30.96,"435,934",19.53,10.92,
31,SK바이오사이언스,"162,000","3,000",+1.89%,500,"123,930","76,500",3.21,"488,449",125.87,13.25,
32,S-Oil,"105,500","3,000",+2.93%,"2,500","118,775","112,583",77.18,"359,347",28.66,-13.07,
33,대한항공,"33,650",500,-1.46%,"5,000","117,042","347,821",11.08,"3,332,782",14.39,-7.22,
34,KT&G,"85,100",800,+0.95%,"5,000","116,836","137,292",38.63,"443,822",10.14,13.22,
35,넷마블,"134,000","7,000",-4.96%,100,"115,178","85,954",23.22,"764,479",36.45,6.35,
36,포스코케미칼,"145,000","2,000",-1.36%,500,"112,322","77,463",7.85,"242,707",174.28,2.96,
